,id,m1,m2,size,x0.25,x0.2,x0.15
0,1,0.3004694835680751,114.55633802816901,"(1032, 774)",0.2533717155456543,0.26793980598449707,0.19806480407714844
1,2,0.40875912408759124,114.67883211678833,"(1024, 724)",0.20096302032470703,0.19923996925354004,0.17091608047485352
2,3,0.17653390742734124,105.09149623250808,"(1032, 774)",0.3963301181793213,0.35335278511047363,0.24516701698303223
3,4,0.3013182674199623,107.8135593220339,"(774, 1032)",0.2247610092163086,0.22196722030639648,0.1837599277496338
4,5,0.19831223628691982,120.84810126582279,"(1032, 774)",0.1923351287841797,0.19941997528076172,0.16491007804870605
5,6,0.26062322946175637,117.63739376770538,"(1032, 774)",0.19468402862548828,0.23300600051879883,0.1678762435913086
6,7,0.18285714285714286,118.1,"(1032, 774)",0.2764859199523926,0.30039191246032715,0.22241616249084473
7,8,0.2280243690165361,101.39686684073106,"(1032, 774)",0.5854589939117432,0.5021541118621826,0.333270788192749
8,9,0.23,108.31,"(1032, 774)",0.18306493759155273,0.1771528720855713,0.1474440097808838
9,10,0.2185792349726776,117.9271402550091,"(1032, 774)",0.2549753189086914,0.24940228462219238,0.1874070167541504
10,11,0.42217484008528783,112.83582089552239,"(1032, 774)",0.21370410919189453,0.20895004272460938,0.16060900688171387
11,12,0.41013824884792627,126.94930875576037,"(1032, 774)",0.1718599796295166,0.1749730110168457,0.15368986129760742
12,13,0.44938271604938274,123.57037037037037,"(1032, 774)",0.19470596313476562,0.19660377502441406,0.1646137237548828
13,14,0.27115384615384613,114.13269230769231,"(1032, 774)",0.2622361183166504,0.2761881351470947,0.1935291290283203
14,15,0.08759124087591241,116.9628400796284,"(1032, 774)",1.419456958770752,1.1275310516357422,0.5556290149688721
15,16,0.27494908350305497,115.81670061099797,"(1032, 774)",0.22786998748779297,0.21938180923461914,0.1778268814086914
16,17,0.12436974789915967,118.81680672268908,"(1032, 774)",0.3412511348724365,0.27453184127807617,0.22124409675598145
17,18,0.5238095238095238,116.72222222222223,"(1032, 774)",0.16742396354675293,0.17157721519470215,0.15138721466064453
18,19,0.12307692307692308,108.81868131868131,"(1032, 774)",0.37888216972351074,0.3647630214691162,0.2614741325378418
19,20,0.3172268907563025,115.85084033613445,"(1032, 774)",0.21831464767456055,0.2305152416229248,0.1721329689025879
20,21,0.23387096774193547,115.15120967741936,"(1032, 774)",0.230302095413208,0.2266218662261963,0.18602705001831055
21,22,0.7777777777777778,107.63888888888889,"(1032, 774)",0.16199612617492676,0.1615297794342041,0.14721989631652832
22,23,0.181058495821727,109.96935933147633,"(1032, 774)",0.22027897834777832,0.2167370319366455,0.17576384544372559
23,24,0.30303030303030304,106.36363636363636,"(1032, 774)",0.18065214157104492,0.16559219360351562,0.14908218383789062
24,25,0.42,116.5,"(1032, 774)",0.17335987091064453,0.1663191318511963,0.15091681480407715
25,26,0.18775510204081633,105.91836734693878,"(1032, 774)",0.2148439884185791,0.21111106872558594,0.17089605331420898
